"","Sample_name","Sample_type","Host","Wet_weight","Dry_weight","Percent_dry","EPG_McM_wet","EPG_McM_dry","Weight_dc_count","Egg_count_DC","EPG_DC_wet","EPG_DC_dry","L3_count_sum","Number_of_L3_counts","Avg_L3_count","Qubit","Sub_conc","Reads","Richness_asv","Richness_sp","Richness_g","Shannon_asv","Shannon_sp","Shannon_g","Evenness_asv","Evenness_sp","Evenness_g"
"16","BZ06F","Fecal","BZ06",8.27,2.48,0.2999,64,19.1936,3.08,198,64.2857142857143,19.2792857142857,75,4,18.75,38.5,5,16137,14,6,4,1.34482314770504,0.733189297951524,0.237939834780912,0.509584665938688,0.409200738460394,0.17163730983418
"17","BZ06L","Larva","BZ06",8.27,2.48,0.2999,64,19.1936,3.08,198,64.2857142857143,19.2792857142857,75,4,18.75,2.75,2.75,15537,46,10,7,2.71717770636395,1.29196943710802,1.12202844032159,0.709697625078084,0.561095197323661,0.576608555572982
"18","BZ06S","Swab","BZ06",8.27,2.48,0.2999,64,19.1936,3.08,198,64.2857142857143,19.2792857142857,75,4,18.75,2.23,2.23,14553,46,7,5,2.70747102484971,1.11996108212361,1.03944703010246,0.707162344149673,0.575546143621956,0.645844752426893
"19","BZ08F","Fecal","BZ08",7.41,1.94,0.2618,96,25.1328,3.08,115,37.3376623376623,9.775,18,4,4.5,37.9,5,7949,15,5,4,1.72859586490067,0.998829237579119,0.974849132310154,0.638317511321287,0.620607498967449,0.703205004399384
"20","BZ08L","Larva","BZ08",7.41,1.94,0.2618,96,25.1328,3.08,115,37.3376623376623,9.775,18,4,4.5,1.1,1.1,21330,39,14,8,2.00027629807177,1.08535963432686,0.998550210679654,0.545992258704028,0.411267925916977,0.480201145675389
"21","BZ08S","Swab","BZ08",7.41,1.94,0.2618,96,25.1328,3.08,115,37.3376623376623,9.775,18,4,4.5,1.78,1.78,26864,37,10,7,2.11007375263308,1.15019039848603,1.0734228074859,0.584359379991527,0.499521343200584,0.551630201428888
"22","BZ09F","Fecal","BZ09",7.25,1.72,0.2372,16,3.7952,3.01,5,1.66112956810631,0.394019933554817,6,4,1.5,35.2,5,4143,3,1,1,0.808131022275654,0,0,0.735592556729347,NA,NA
"23","BZ09L","Larva","BZ09",7.25,1.72,0.2372,16,3.7952,3.01,5,1.66112956810631,0.394019933554817,6,4,1.5,1.8,1.8,19042,29,8,6,2.63755141396399,1.66484926376166,1.55222561247078,0.783284732655814,0.800623258885532,0.866313609124959
"24","BZ09S","Swab","BZ09",7.25,1.72,0.2372,16,3.7952,3.01,5,1.66112956810631,0.394019933554817,6,4,1.5,1.98,1.98,24244,12,3,3,1.67832064108811,0.693551179854131,0.693551179854131,0.675405911618971,0.631297489576555,0.631297489576555
"25","BZ10F","Fecal","BZ10",6.91,1.39,0.2012,32,6.4384,3.09,61,19.7411003236246,3.97190938511327,6,4,1.5,44.5,5,15970,14,4,4,1.94425313402397,1.12084983361994,1.12084983361994,0.73672258355502,0.808522248272356,0.808522248272356
"26","BZ10L","Larva","BZ10",6.91,1.39,0.2012,32,6.4384,3.09,61,19.7411003236246,3.97190938511327,6,4,1.5,0.077,0.077,22929,48,14,7,2.75784368766293,1.74893115882669,1.55133005605935,0.712400022600775,0.662710559259303,0.797225944277273
"27","BZ10S","Swab","BZ10",6.91,1.39,0.2012,32,6.4384,3.09,61,19.7411003236246,3.97190938511327,6,4,1.5,0.547,0.547,21964,33,9,7,2.36615927907661,1.70684470792576,1.5602542307923,0.676720767074278,0.776818503457225,0.801812062879554
"28","BZ11F","Fecal","BZ11",6.94,1.5,0.2161,16,3.4576,3,60,20,4.322,8,4,2,46,5,7137,4,1,1,0.933832283391047,0,0,0.67361760213514,NA,NA
"29","BZ11L","Larva","BZ11",6.94,1.5,0.2161,16,3.4576,3,60,20,4.322,8,4,2,0.588,0.588,16204,20,9,5,1.73901600242303,0.984531419803314,0.643822418130583,0.580497802749223,0.448079559075795,0.400029360037177
"30","BZ11S","Swab","BZ11",6.94,1.5,0.2161,16,3.4576,3,60,20,4.322,8,4,2,1.47,1.47,16696,16,7,5,1.5536742052895,0.694874206995566,0.621316253030852,0.560369517782066,0.357094703130517,0.386045493417747
"31","BZ12F","Fecal","BZ12",7.07,1.94,0.2744,32,8.7808,3.1,29,9.35483870967742,2.56696774193548,2,4,0.5,64.7,5,3413,3,1,1,0.795034797014666,0,0,0.723671858776054,NA,NA
"32","BZ12L","Larva","BZ12",7.07,1.94,0.2744,32,8.7808,3.1,29,9.35483870967742,2.56696774193548,2,4,0.5,1.03,1.03,23419,12,6,5,1.28126495082691,0.614519356205702,0.540609928795089,0.515618947269599,0.342969782919833,0.335899834730173
"33","BZ12S","Swab","BZ12",7.07,1.94,0.2744,32,8.7808,3.1,29,9.35483870967742,2.56696774193548,2,4,0.5,1.94,1.94,21081,9,6,4,1.12725006454129,0.38953450523174,0.33153095266038,0.51303361348156,0.217403346778217,0.239149030652162
"34","BZ13F","Fecal","BZ13",6.84,2.09,0.3056,32,9.7792,3.11,32,10.2893890675241,3.14443729903537,13,4,3.25,25,5,17639,14,4,3,2.15305153642061,1.30026862536053,1.08055613873317,0.815841138522934,0.937945548815573,0.983564584047358
"35","BZ13L","Larva","BZ13",6.84,2.09,0.3056,32,9.7792,3.11,32,10.2893890675241,3.14443729903537,13,4,3.25,1.65,1.65,21109,53,12,6,2.982964633304,1.89389986993734,1.57166179348184,0.751321237393655,0.76216137539771,0.877161148286807
"38","BZ14L","Larva","BZ14",7.12,2.25,0.316,0,0,3.09,2,0.647249190938511,0.20453074433657,1,4,0.25,7.82,5,12168,29,8,5,2.47668273346268,1.26067747563476,1.01740048532055,0.735510884255344,0.606257714086228,0.632146463967559
"39","BZ14S","Swab","BZ14",7.12,2.25,0.316,0,0,3.09,2,0.647249190938511,0.20453074433657,1,4,0.25,2.61,2.61,17434,37,8,6,2.97952655538218,1.72648631296101,1.50797840668732,0.825143807603291,0.830264413957175,0.841618773382013
